RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
73,73,Bud Cauley,92,40.34,71,176,-0.17,2017
74,74,Stewart Cink,93,40.32,75,186,-0.31,2017
75,75,Hunter Mahan,73,40.14,57,142,-0.33,2017
76,76,Robert Streb,98,40.0,72,180,-0.21,2017
77,77,Mackenzie Hughes,106,39.9,83,208,-0.17,2017
78,78,James Hahn,96,39.67,73,184,-0.22,2017
79,79,J.J. Henry,92,39.53,68,172,-0.32,2017
80,80,Patrick Reed,107,39.13,72,184,-0.25,2017
81,81,Scott Piercy,70,38.98,46,118,-0.22,2017
82,82,Kevin Streelman,90,38.64,68,176,-0.18,2017
83,83,Morgan Hoffmann,92,38.07,67,176,-0.21,2017
84,84,Emiliano Grillo,90,37.97,60,158,E,2017
85,85,J.T. Poston,95,37.93,66,174,-0.15,2017
86,86,Sam Saunders,76,37.86,53,140,-0.15,2017
87,87,Aaron Baddeley,61,37.74,40,106,-0.15,2017
88,88,Brian Campbell,55,37.25,38,102,-0.24,2017
89,89,Dominic Bozzelli,69,36.92,48,130,-0.31,2017
90,90,Patton Kizzire,84,36.84,56,152,-0.16,2017
91,91,Branden Grace,70,36.36,40,110,-0.25,2017
92,92,Phil Mickelson,85,36.25,58,160,-0.24,2017
93,93,Cameron Percy,71,35.38,46,130,-0.17,2017
94,94,Francesco Molinari,75,35.29,48,136,-0.23,2017
95,95,Julián Etulain,68,34.92,44,126,-0.25,2017
96,96,Steven Bowditch,59,34.55,38,110,-0.05,2017
97,97,Nick Taylor,97,34.21,65,190,-0.23,2017
98,98,Jason Dufner,89,34.15,56,164,-0.04,2017
99,99,Gonzalo Fernandez-Castaño,63,33.93,38,112,-0.21,2017
100,100,J.J. Spaun,92,33.72,58,172,-0.38,2017
101,101,Retief Goosen,52,33.7,31,92,-0.26,2017
102,102,Kelly Kraft,75,33.1,47,142,-0.06,2017
103,103,Cameron Smith,86,32.93,54,164,-0.19,2017
104,104,Bill Haas,92,32.72,53,162,-0.23,2017
105,105,Whee Kim,74,32.64,47,144,-0.40,2017
106,106,Pat Perez,93,32.56,56,172,-0.23,2017
107,107,Danny Lee,93,32.35,55,170,-0.11,2017
108,108,Kevin Kisner,105,32.22,58,180,-0.09,2017
109,109,Ryo Ishikawa,56,31.73,33,104,-0.21,2017
110,110,Jim Herman,77,31.69,45,142,-0.29,2017
111,111,Ben Martin,86,31.01,49,158,-0.22,2017
112,112,Blayne Barber,77,30.99,44,142,-0.20,2017
113,113,Rafa Cabrera Bello,63,30.77,32,104,+0.09,2017
114,114,Si Woo Kim,80,30.6,41,134,-0.12,2017
115,115,Adam Hadwin,98,30.32,57,188,-0.16,2017
116,116,Boo Weekley,75,30.14,44,146,-0.30,2017
117,117,Brad Fritsch,56,29.81,31,104,-0.16,2017
118,118,Richy Werenski,81,29.73,44,148,-0.25,2017
119,119,Troy Merritt,82,29.61,45,152,-0.18,2017
120,120,Ryan Moore,82,29.58,42,142,-0.29,2017
121,121,Michael Kim,94,28.89,52,180,-0.23,2017
122,122,Brian Harman,104,28.65,55,192,-0.33,2017
123,123,Jonathan Randolph,68,28.57,36,126,-0.25,2017
124,124,Geoff Ogilvy,80,28.47,41,144,-0.07,2017
125,125,Daniel Summerhays,100,28.33,51,180,-0.24,2017
126,126,David Lingmerth,79,28.17,40,142,-0.48,2017
127,127,Scott Brown,95,28.02,51,182,-0.33,2017
128,128,Jonas Blixt,74,27.86,39,140,-0.38,2017
T129,T129,Brett Stegmaier,78,27.78,40,144,-0.18,2017
T129,T129,Camilo Villegas,76,27.78,40,144,-0.20,2017
131,131,Chris Kirk,89,27.71,46,166,-0.24,2017
132,132,Rory Sabbatini,71,27.69,36,130,-0.33,2017
133,133,Nicholas Lindheim,58,27.68,31,112,-0.19,2017
134,134,Tyrone Van Aswegen,105,27.42,51,186,-0.10,2017
135,135,Brett Drewitt,57,27.36,29,106,-0.14,2017
136,136,Russell Knox,75,26.61,33,124,-0.09,2017
137,137,C.T. Pan,88,25.58,44,172,-0.32,2017
138,138,Miguel Angel Carballo,63,25.44,29,114,-0.34,2017
139,139,Webb Simpson,102,25.25,50,198,-0.52,2017
T140,T140,Tom Hoge,54,25.0,23,92,-0.26,2017
T140,T140,Kevin Na,86,25.0,37,148,-0.16,2017
142,142,Ricky Barnes,100,24.43,43,176,-0.16,2017
143,143,Chad Campbell,97,24.19,45,186,-0.13,2017
144,144,Michael Thompson,60,24.11,27,112,-0.26,2017
145,145,Zach Johnson,81,24.03,37,154,-0.22,2017
146,146,Rod Pampling,71,23.94,34,142,-0.35,2017
147,147,Johnson Wagner,71,23.02,29,126,+0.10,2017
148,148,Chris Stroud,67,22.88,27,118,-0.33,2017
149,149,Mark Hubbard,81,22.86,32,140,-0.19,2017
150,150,Derek Fathauer,81,22.54,32,142,-0.13,2017
151,151,Matt Kuchar,95,22.16,39,176,-0.31,2017
152,152,Kyle Reifers,96,22.02,37,168,-0.38,2017
T153,T153,John Huh,92,21.43,36,168,-0.33,2017
T153,T153,Chez Reavie,98,21.43,39,182,-0.10,2017
155,155,Ryan Blaum,100,21.35,41,192,-0.20,2017
156,156,William McGirt,89,21.08,35,166,-0.06,2017
157,157,Peter Malnati,91,20.37,33,162,-0.39,2017
158,158,Fabián Gómez,61,20.34,24,118,-0.33,2017
159,159,Mark Anderson,54,20.19,21,104,-0.19,2017
160,160,Chad Collins,66,20.16,25,124,-0.48,2017
161,161,Brandt Snedeker,53,20.0,20,100,-0.15,2017
162,162,Ernie Els,52,19.79,19,96,-0.26,2017
163,163,K.J. Choi,72,19.35,24,124,-0.17,2017
164,164,Vaughn Taylor,90,18.45,31,168,-0.16,2017
165,165,Ian Poulter,72,17.97,23,128,-0.26,2017
166,166,Greg Chalmers,75,17.61,25,142,-0.24,2017
167,167,Tim Wilkinson,64,17.24,20,116,-0.30,2017
168,168,Cameron Tringale,89,17.09,27,158,-0.30,2017
169,169,Steve Wheatcroft,51,15.96,15,94,-0.40,2017
170,170,Wesley Bryan,95,15.93,29,182,-0.24,2017
171,171,Billy Hurley III,80,15.79,24,152,-0.25,2017
172,172,Alex Cejka,85,15.75,23,146,-0.04,2017
173,173,D.A. Points,68,15.44,21,136,-0.38,2017
174,174,Brian Gay,82,15.38,24,156,-0.21,2017
175,175,David Hearn,93,12.96,21,162,-0.19,2017
T176,T176,Ryan Armour,63,12.71,15,118,-0.40,2017
T176,T176,Carl Pettersson,63,12.71,15,118,-0.40,2017
178,178,Steven Alker,69,12.7,16,126,+0.06,2017
T179,T179,Roberto Castro,70,12.5,16,128,-0.31,2017
T179,T179,Luke Donald,50,12.5,12,96,-0.42,2017
181,181,Bryce Molder,74,12.16,18,148,-0.33,2017
T182,T182,Jason Bohn,75,11.97,17,142,-0.35,2017
T182,T182,Ken Duke,77,11.97,17,142,+0.12,2017
184,184,Ben Crane,86,11.39,18,158,+0.06,2017
185,185,Graeme McDowell,56,10.71,12,112,-0.25,2017
186,186,Søren Kjeldsen,58,10.0,9,90,-0.56,2017
187,187,Spencer Levin,89,9.26,15,162,-0.27,2017
188,188,Brian Stuard,93,6.63,11,166,-0.09,2017
189,189,Zac Blair,105,6.32,12,190,-0.25,2017
190,190,Jim Furyk,54,5.88,6,102,E,2017
1,1,Rory McIlroy,64,81.15,99,122,-0.21,2018
2,2,Luke List,98,78.16,136,174,-0.23,2018
3,3,Trey Mullinax,75,76.09,105,138,-0.29,2018
T4,T4,Tony Finau,105,75.0,135,180,-0.47,2018
T4,T4,Brooks Koepka,64,75.0,87,116,-0.18,2018
6,6,Tom Lovelady,87,73.46,119,162,-0.34,2018
7,7,Jason Day,75,72.5,87,120,-0.14,2018
8,8,Keith Mitchell,99,71.13,138,194,-0.34,2018
9,9,Bubba Watson,90,70.89,112,158,-0.21,2018
10,10,Gary Woodland,96,70.48,117,166,-0.29,2018
11,11,Dustin Johnson,77,70.0,98,140,-0.30,2018
12,12,Jason Kokrak,99,68.69,136,198,-0.30,2018
13,13,Brendan Steele,74,68.25,86,126,-0.22,2018
14,14,Kevin Chappell,77,68.24,101,148,-0.23,2018
15,15,Justin Thomas,91,66.89,99,148,-0.27,2018
16,16,Kevin Tway,110,66.15,127,192,-0.31,2018
17,17,Jon Rahm,71,65.32,81,124,-0.19,2018
18,18,Nick Watney,94,65.0,117,180,-0.21,2018
19,19,Grayson Murray,72,64.84,83,128,-0.13,2018
20,20,Harold Varner III,91,63.58,103,162,-0.33,2018
21,21,Byeong Hun An,86,63.13,101,160,-0.08,2018
22,22,Paul Casey,74,61.86,73,118,-0.14,2018
23,23,Robert Garrigus,80,61.84,94,152,-0.31,2018
24,24,Patrick Rodgers,97,61.76,105,170,-0.32,2018
25,25,J.B. Holmes,77,61.27,87,142,-0.21,2018
26,26,Adam Schenk,86,59.38,95,160,-0.29,2018
27,27,Jhonattan Vegas,92,59.09,91,154,-0.19,2018
28,28,Brandon Harkins,101,57.89,110,190,-0.26,2018
29,29,Xander Schauffele,96,57.41,93,162,-0.18,2018
30,30,Ryan Palmer,69,57.14,72,126,-0.22,2018
31,31,Ollie Schniederjans,91,56.96,90,158,-0.28,2018
T32,T32,Corey Conners,97,56.45,105,186,-0.26,2018
T32,T32,Tommy Fleetwood,73,56.45,70,124,-0.23,2018
34,34,Adam Scott,78,56.43,79,140,-0.16,2018
35,35,Hideki Matsuyama,75,56.25,72,128,-0.06,2018
36,36,Tiger Woods,68,55.88,76,136,-0.18,2018
37,37,Jamie Lovemark,92,55.63,89,160,-0.37,2018
38,38,Patrick Cantlay,87,55.26,84,152,-0.26,2018
39,39,Bryson DeChambeau,93,54.84,102,186,-0.24,2018
40,40,Lanto Griffin,80,54.73,81,148,-0.37,2018
41,41,Seamus Power,86,54.49,85,156,-0.32,2018
42,42,Charley Hoffman,87,54.38,87,160,-0.20,2018
43,43,Matt Jones,70,54.03,67,124,-0.19,2018
T44,T44,Charles Howell III,104,53.98,95,176,-0.26,2018
T44,T44,Aaron Wise,90,53.98,95,176,-0.17,2018
46,46,Branden Grace,67,53.85,56,104,-0.16,2018
47,47,Sam Saunders,80,53.38,79,148,-0.32,2018
48,48,Phil Mickelson,90,53.01,88,166,-0.28,2018
49,49,Bronson Burgoon,69,52.9,73,138,-0.22,2018
50,50,Hudson Swafford,73,52.73,58,110,-0.33,2018
51,51,Scott Stallings,96,52.33,90,172,-0.23,2018
52,52,Peter Uihlein,83,52.14,73,140,-0.25,2018
T53,T53,Matt Atkins,56,51.92,54,104,-0.22,2018
T53,T53,Harris English,84,51.92,81,156,-0.37,2018
55,55,Justin Rose,70,50.81,63,124,-0.16,2018
56,56,Francesco Molinari,73,50.76,67,132,-0.16,2018
T57,T57,Keegan Bradley,98,50.0,85,170,-0.34,2018
T57,T57,Charl Schwartzel,65,50.0,46,92,-0.15,2018
T57,T57,Ethan Tracy,72,50.0,68,136,-0.28,2018
60,60,Beau Hossler,104,49.52,103,208,-0.23,2018
61,61,Rickie Fowler,74,49.32,73,148,-0.34,2018
62,62,Lucas Glover,65,48.98,48,98,-0.29,2018
63,63,Sean O'Hair,67,48.41,61,126,-0.15,2018
64,64,Cody Gribble,71,48.25,55,114,-0.22,2018
65,65,Alex Noren,67,48.21,54,112,-0.06,2018
66,66,Jimmy Walker,81,48.05,74,154,-0.26,2018
67,67,Chesson Hadley,103,47.98,95,198,-0.26,2018
68,68,Shane Lowry,64,47.32,53,112,-0.17,2018
69,69,Stephan Jaeger,81,46.67,70,150,-0.30,2018
70,70,Patton Kizzire,92,46.63,83,178,-0.25,2018
T71,T71,Martin Flores,92,46.34,76,164,-0.26,2018
T71,T71,Marc Leishman,93,46.34,76,164,-0.22,2018
73,73,Louis Oosthuizen,62,46.3,50,108,-0.02,2018
74,74,Patrick Reed,94,46.15,72,156,-0.25,2018
75,75,James Hahn,85,45.95,68,148,-0.32,2018
76,76,Jordan Spieth,81,45.39,69,152,-0.30,2018
77,77,J.T. Poston,73,45.07,64,142,-0.30,2018
78,78,Tyrrell Hatton,58,45.0,45,100,E,2018
79,79,Shawn Stefani,76,44.59,66,148,-0.35,2018
80,80,Hunter Mahan,67,44.44,56,126,-0.05,2018
81,81,Cameron Smith,85,44.29,62,140,-0.21,2018
82,82,Daniel Berger,81,44.12,60,136,-0.25,2018
83,83,Stewart Cink,87,43.67,69,158,-0.30,2018
84,84,Brett Stegmaier,67,43.44,53,122,-0.34,2018
85,85,Brice Garnett,99,43.16,82,190,-0.28,2018
86,86,Talor Gooch,78,43.06,62,144,-0.29,2018
87,87,Cameron Percy,56,43.0,43,100,-0.14,2018
88,88,Xinjun Zhang,81,42.96,61,142,-0.30,2018
89,89,Abraham Ancer,98,42.19,81,192,-0.25,2018
90,90,Kyle Stanley,93,42.11,64,152,-0.33,2018
91,91,Denny McCarthy,71,42.06,53,126,-0.28,2018
92,92,Matt Every,79,42.0,63,150,-0.44,2018
93,93,Jason Dufner,71,41.67,50,120,-0.24,2018
T94,T94,Dominic Bozzelli,65,41.54,54,130,-0.22,2018
T94,T94,Martin Laird,73,41.54,54,130,-0.20,2018
96,96,Jonas Blixt,67,41.51,44,106,-0.30,2018
97,97,Retief Goosen,60,41.35,43,104,-0.14,2018
98,98,Sam Ryder,82,41.25,66,160,-0.32,2018
99,99,Tyler Duncan,97,40.86,76,186,-0.34,2018
100,100,Billy Horschel,86,40.85,67,164,-0.13,2018
101,101,Mackenzie Hughes,80,40.79,62,152,-0.19,2018
102,102,J.J. Spaun,85,40.51,64,158,-0.34,2018
103,103,Scott Piercy,84,40.13,61,152,-0.31,2018
104,104,Troy Merritt,89,40.0,68,170,-0.37,2018
105,105,Anirban Lahiri,82,39.86,59,148,-0.32,2018
106,106,Joel Dahmen,93,39.41,67,170,-0.42,2018
T107,T107,Rafa Cabrera Bello,75,38.79,45,116,-0.16,2018
T107,T107,Michael Thompson,62,38.79,45,116,-0.24,2018
109,109,Bill Haas,76,38.57,54,140,-0.17,2018
110,110,Aaron Baddeley,84,38.46,60,156,-0.23,2018
111,111,Graeme McDowell,67,38.18,42,110,-0.29,2018
112,112,Emiliano Grillo,94,38.1,64,168,-0.28,2018
113,113,Satoshi Kodaira,51,37.5,36,96,E,2018
114,114,Blayne Barber,69,37.31,50,134,-0.34,2018
T115,T115,Webb Simpson,95,36.41,67,184,-0.30,2018
T115,T115,Kevin Streelman,94,36.41,67,184,-0.28,2018
117,117,Nicholas Lindheim,77,36.23,50,138,-0.06,2018
118,118,Nate Lashley,51,36.17,34,94,-0.21,2018
119,119,J.J. Henry,81,36.0,54,150,-0.19,2018
T120,T120,Sung Kang,89,35.71,55,154,-0.25,2018
T120,T120,Ian Poulter,73,35.71,40,112,-0.28,2018
122,122,Robert Streb,78,35.61,47,132,-0.17,2018
123,123,Peter Malnati,87,34.94,58,166,-0.40,2018
124,124,Russell Henley,77,34.85,46,132,-0.22,2018
125,125,Jonathan Byrd,70,34.68,43,124,-0.23,2018
126,126,Bud Cauley,55,34.44,31,90,-0.13,2018
127,127,Brandt Snedeker,84,34.15,56,164,-0.38,2018
128,128,Chris Stroud,81,33.85,44,130,-0.07,2018
129,129,Nick Taylor,94,33.54,55,164,-0.33,2018
T130,T130,Kiradech Aphibarnrat,51,33.33,28,84,E,2018
T130,T130,Tom Hoge,101,33.33,62,186,-0.26,2018
T130,T130,C.T. Pan,104,33.33,60,180,-0.30,2018
T130,T130,Tyrone Van Aswegen,101,33.33,62,186,-0.26,2018
T134,T134,Si Woo Kim,108,33.15,61,184,-0.31,2018
T134,T134,Andrew Putnam,97,33.15,59,178,-0.32,2018
136,136,Ricky Barnes,65,33.05,39,118,-0.44,2018
137,137,Conrad Shindler,60,33.04,37,112,-0.08,2018
138,138,Scott Brown,102,32.78,59,180,-0.27,2018
139,139,Austin Cook,107,32.71,70,214,-0.24,2018
140,140,Kevin Kisner,89,32.69,51,156,-0.24,2018
141,141,Rory Sabbatini,91,32.58,58,178,-0.26,2018
142,142,Fabián Gómez,88,32.14,54,168,-0.33,2018
143,143,Henrik Stenson,60,31.73,33,104,-0.21,2018
144,144,Martin Piller,79,31.17,48,154,-0.15,2018
145,145,Zecheng Dou,53,31.11,28,90,-0.11,2018
146,146,Brian Harman,94,31.1,51,164,-0.39,2018
147,147,Russell Knox,94,30.81,53,172,-0.30,2018
T148,T148,Ryan Moore,78,30.77,48,156,-0.19,2018
T148,T148,Jonathan Randolph,71,30.77,40,130,-0.35,2018
150,150,Richy Werenski,98,30.68,54,176,-0.30,2018
151,151,William McGirt,84,30.13,47,156,-0.34,2018
152,152,Adam Hadwin,92,29.87,46,154,-0.24,2018
153,153,Ben Martin,64,29.69,38,128,-0.32,2018
154,154,Kevin Na,91,29.49,46,156,-0.41,2018
155,155,Chris Kirk,108,29.41,60,204,-0.17,2018
156,156,Andrew Landry,82,29.38,47,160,-0.28,2018
157,157,Cameron Tringale,67,29.37,37,126,-0.22,2018
158,158,Ben Silverman,90,29.17,49,168,-0.33,2018
159,159,Matt Kuchar,88,28.95,44,152,-0.30,2018
160,160,Andrew Yun,51,28.89,26,90,-0.23,2018
161,161,Ryan Blaum,81,28.85,45,156,-0.16,2018
162,162,Rod Pampling,62,28.0,28,100,-0.39,2018
163,163,Steve Wheatcroft,60,27.59,32,116,-0.34,2018
164,164,Kelly Kraft,94,27.38,46,168,-0.22,2018
165,165,Pat Perez,82,26.98,34,126,-0.18,2018
166,166,Danny Lee,88,26.28,41,156,-0.37,2018
167,167,Derek Fathauer,84,26.25,42,160,-0.17,2018
168,168,John Huh,94,26.11,47,180,-0.15,2018
169,169,Billy Hurley III,70,25.78,33,128,-0.33,2018
170,170,Zach Johnson,94,25.29,44,174,-0.45,2018
171,171,"Ted Potter, Jr.",87,24.71,43,174,-0.09,2018
172,172,Chad Campbell,87,24.65,35,142,-0.14,2018
173,173,Roberto Díaz,72,24.26,33,136,-0.30,2018
174,174,Michael Kim,74,24.24,32,132,-0.28,2018
175,175,Rob Oppenheim,74,23.53,32,136,+0.13,2018
176,176,Alex Cejka,77,22.46,31,138,-0.29,2018
177,177,Wesley Bryan,69,21.82,24,110,-0.25,2018
178,178,Johnson Wagner,75,21.74,30,138,-0.47,2018
179,179,Brian Gay,103,21.29,43,202,-0.26,2018
180,180,Greg Chalmers,56,21.15,22,104,-0.18,2018
181,181,Daniel Summerhays,51,21.11,19,90,-0.53,2018
182,182,Ryan Armour,109,21.03,45,214,-0.24,2018
183,183,Chez Reavie,93,20.95,31,148,-0.48,2018
184,184,David Hearn,66,20.83,25,120,-0.12,2018
185,185,Kyle Thompson,50,20.65,19,92,-0.16,2018
186,186,David Lingmerth,82,19.87,31,156,-0.42,2018
187,187,Whee Kim,93,19.75,32,162,-0.28,2018
188,188,Vaughn Taylor,83,18.99,30,158,-0.13,2018
189,189,Jim Furyk,50,18.75,18,96,-0.06,2018
190,190,D.A. Points,63,18.42,21,114,-0.62,2018
191,191,Ben Crane,65,15.45,17,110,-0.59,2018
192,192,Zac Blair,64,12.93,15,116,-0.20,2018
193,193,Brian Stuard,103,12.37,24,194,-0.17,2018
1,1,Luke List,66,76.19,96,126,-0.11,2019
2,2,Rory McIlroy,72,74.22,95,128,-0.18,2019
3,3,Cameron Champ,78,73.03,111,152,-0.23,2019
4,4,Brooks Koepka,81,70.45,93,132,-0.25,2019
5,5,Wyndham Clark,87,68.82,117,170,-0.46,2019
6,6,Dustin Johnson,73,67.42,89,132,-0.39,2019
7,7,Seth Reeves,73,67.16,90,134,-0.26,2019
8,8,Cam Davis,76,66.67,96,144,-0.32,2019
9,9,Gary Woodland,87,66.45,101,152,-0.17,2019
10,10,Trey Mullinax,77,65.75,96,146,-0.38,2019
11,11,Tony Finau,89,65.0,104,160,-0.15,2019
12,12,Jason Kokrak,94,64.63,106,164,-0.25,2019
13,13,Jhonattan Vegas,75,64.58,93,144,-0.33,2019
14,14,Sam Burns,80,63.46,99,156,-0.28,2019
15,15,J.B. Holmes,78,62.7,79,126,-0.13,2019
16,16,Bubba Watson,65,62.07,72,116,-0.18,2019
17,17,Ollie Schniederjans,77,61.97,88,142,-0.2,2019
18,18,Phil Mickelson,63,61.67,74,120,-0.12,2019
19,19,Byeong Hun An,80,61.54,80,130,-0.2,2019
20,20,Brandon Harkins,91,60.24,100,166,-0.29,2019
21,21,Jon Rahm,75,60.16,77,128,-0.22,2019
22,22,Patrick Cantlay,77,59.56,81,136,-0.3,2019
23,23,Rickie Fowler,76,59.21,90,152,-0.31,2019
24,24,Kevin Tway,84,59.03,85,144,-0.18,2019
25,25,Sepp Straka,78,58.33,84,144,-0.26,2019
26,26,Harold Varner III,84,57.32,94,164,-0.27,2019
27,27,Keith Mitchell,86,56.67,85,150,-0.34,2019
28,28,Xander Schauffele,77,56.45,70,124,-0.27,2019
29,29,Aaron Wise,72,55.8,77,138,-0.23,2019
30,30,Sergio Garcia,53,55.68,49,88,-0.33,2019
31,31,Bryson DeChambeau,75,54.86,79,144,-0.27,2019
32,32,Martin Trainer,63,54.1,66,122,-0.38,2019
33,33,Hideki Matsuyama,91,53.75,86,160,-0.26,2019
34,34,Charles Howell III,94,53.61,89,166,-0.2,2019
35,35,Alex Prugh,77,53.52,76,142,-0.24,2019
36,36,Jason Day,69,52.68,59,112,-0.22,2019
37,37,Daniel Berger,70,52.27,69,132,-0.26,2019
38,38,Patrick Rodgers,55,51.96,53,102,-0.4,2019
39,39,Justin Thomas,75,51.56,66,128,-0.35,2019
40,40,Adam Schenk,102,51.5,103,200,-0.39,2019
41,41,Sung Kang,86,51.25,82,160,-0.33,2019
42,42,Harris English,97,51.1,93,182,-0.32,2019
43,43,Alex Noren,63,50.96,53,104,-0.11,2019
44,44,John Chin,58,50.93,55,108,-0.16,2019
45,45,Justin Rose,66,50.86,59,116,-0.39,2019
46,46,Joaquin Niemann,98,50.54,93,184,-0.31,2019
T47,T47,Sebastián Muñoz,86,50.0,80,160,-0.34,2019
T47,T47,Sam Saunders,78,50.0,74,148,-0.27,2019
T47,T47,Peter Uihlein,84,50.0,70,140,-0.33,2019
T47,T47,Nick Watney,87,50.0,75,150,-0.31,2019
51,51,Carlos Ortiz,84,49.39,81,164,-0.33,2019
52,52,Cody Gribble,74,49.24,65,132,-0.22,2019
53,53,Adam Scott,63,49.06,52,106,-0.27,2019
T54,T54,Max Homa,82,48.75,78,160,-0.36,2019
T54,T54,Martin Laird,88,48.75,78,160,-0.55,2019
56,56,Brendan Steele,68,48.15,52,108,-0.23,2019
57,57,Danny Lee,83,48.05,74,154,-0.26,2019
58,58,Jimmy Walker,74,47.73,63,132,-0.13,2019
59,59,Jim Knous,57,47.17,50,106,-0.22,2019
60,60,Scott Stallings,82,46.62,69,148,-0.32,2019
61,61,Chase Wright,75,46.38,64,138,-0.33,2019
62,62,Talor Gooch,54,46.3,50,108,-0.46,2019
63,63,Mackenzie Hughes,80,46.05,70,152,-0.39,2019
64,64,Beau Hossler,87,46.0,69,150,-0.17,2019
T65,T65,Tommy Fleetwood,71,45.83,55,120,-0.15,2019
T65,T65,Seamus Power,80,45.83,66,144,-0.26,2019
67,67,Paul Casey,79,45.24,57,126,-0.26,2019
68,68,Ryan Palmer,74,44.83,52,116,-0.19,2019
69,69,Cameron Tringale,73,43.85,57,130,-0.4,2019
70,70,Patrick Reed,93,43.45,73,168,-0.34,2019
71,71,Shawn Stefani,80,43.42,66,152,-0.33,2019
72,72,Keegan Bradley,89,43.24,64,148,-0.2,2019
73,73,Chesson Hadley,76,42.42,56,132,-0.25,2019
74,74,Wes Roach,69,42.06,53,126,-0.38,2019
75,75,Sam Ryder,76,41.91,57,136,-0.33,2019
76,76,Dylan Frittelli,83,41.36,67,162,-0.4,2019
77,77,Corey Conners,90,41.28,71,172,-0.37,2019
78,78,Cameron Smith,79,41.13,51,124,-0.35,2019
79,79,Dominic Bozzelli,73,41.04,55,134,-0.47,2019
80,80,Hank Lebioda,76,40.71,57,140,-0.39,2019
81,81,Hunter Mahan,59,40.68,48,118,-0.08,2019
82,82,Marc Leishman,76,40.63,52,128,-0.19,2019
83,83,Roger Sloan,88,40.48,68,168,-0.28,2019
84,84,Bronson Burgoon,59,40.2,41,102,-0.27,2019
85,85,Sangmoon Bae,60,39.81,43,108,-0.12,2019
T86,T86,Sungjae Im,122,39.47,90,228,-0.46,2019
T86,T86,Hudson Swafford,59,39.47,45,114,-0.29,2019
88,88,Louis Oosthuizen,71,39.29,44,112,-0.32,2019
89,89,Jordan Spieth,82,39.24,62,158,-0.1,2019
90,90,Richy Werenski,89,39.16,65,166,-0.29,2019
91,91,Tyrrell Hatton,62,39.0,39,100,-0.21,2019
92,92,Emiliano Grillo,85,38.64,51,132,-0.2,2019
93,93,Bud Cauley,82,38.41,63,164,-0.41,2019
94,94,Lucas Glover,94,38.33,69,180,-0.38,2019
95,95,Anders Albertson,68,37.5,48,128,-0.33,2019
96,96,Scott Piercy,90,37.18,58,156,-0.36,2019
97,97,Charley Hoffman,74,37.1,46,124,-0.09,2019
98,98,Branden Grace,76,36.61,41,112,-0.22,2019
99,99,Si Woo Kim,87,36.49,54,148,-0.28,2019
100,100,J.T. Poston,100,36.46,70,192,-0.29,2019
101,101,Danny Willett,63,36.44,43,118,-0.33,2019
102,102,Matt Jones,88,35.71,60,168,-0.4,2019
103,103,Patton Kizzire,76,35.61,47,132,-0.11,2019
104,104,Stephan Jaeger,77,34.51,49,142,-0.31,2019
105,105,Josh Teater,73,34.33,46,134,-0.28,2019
106,106,Adam Long,76,34.21,52,152,-0.15,2019
107,107,Joey Garber,63,33.33,38,114,-0.18,2019
108,108,Jason Dufner,74,32.81,42,128,-0.19,2019
109,109,Peter Malnati,87,32.53,54,166,-0.26,2019
110,110,Billy Horschel,99,32.5,52,160,-0.19,2019
111,111,Troy Merritt,69,32.46,37,114,-0.3,2019
112,112,Joel Dahmen,100,32.39,57,176,-0.16,2019
113,113,Anirban Lahiri,73,32.31,42,130,-0.12,2019
114,114,Kevin Streelman,83,32.1,52,162,-0.42,2019
115,115,Francesco Molinari,61,32.0,32,100,0.06,2019
T116,T116,Abraham Ancer,93,31.88,51,160,-0.45,2019
T116,T116,Bill Haas,77,31.88,44,138,-0.57,2019
118,118,Adam Hadwin,86,31.76,47,148,-0.6,2019
119,119,J.J. Henry,58,31.73,33,104,-0.33,2019
120,120,Nick Taylor,97,31.72,59,186,-0.47,2019
121,121,Freddie Jacobson,53,31.37,32,102,-0.22,2019
122,122,Denny McCarthy,89,30.86,50,162,-0.3,2019
123,123,J.J. Spaun,90,30.41,45,148,-0.33,2019
124,124,Kramer Hickok,79,29.87,46,154,-0.48,2019
125,125,Robert Streb,80,29.86,43,144,-0.42,2019
126,126,Adam Svensson,73,29.85,40,134,-0.5,2019
127,127,Chris Stroud,70,29.84,37,124,-0.3,2019
128,128,Curtis Luck,65,29.66,35,118,-0.06,2019
129,129,Kiradech Aphibarnrat,65,29.63,32,108,-0.19,2019
T130,T130,Julián Etulain,70,29.23,38,130,-0.47,2019
T130,T130,José de Jesús Rodríguez,67,29.23,38,130,-0.5,2019
132,132,Fabián Gómez,62,29.03,36,124,-0.22,2019
133,133,Brian Harman,91,29.01,47,162,-0.3,2019
134,134,Jonas Blixt,82,28.95,44,152,-0.36,2019
135,135,Scott Brown,86,28.66,47,164,-0.36,2019
136,136,Austin Cook,68,28.57,32,112,-0.44,2019
137,137,Tom Hoge,98,28.49,49,172,-0.39,2019
138,138,Tyler Duncan,89,28.31,47,166,-0.28,2019
139,139,Ryan Blaum,90,28.05,46,164,-0.33,2019
140,140,Ian Poulter,65,28.0,28,100,-0.14,2019
141,141,Matt Kuchar,87,27.5,44,160,-0.3,2019
142,142,Jim Herman,52,27.08,26,96,-0.27,2019
